exposure,sex,age,deaths,pys
0,1,18,5,9826.33544698913
0,2,18,0,1390.03822299775
0,1,19,7,8746.43270397976
0,2,19,1,2839.98675591151
0,1,20,8,5844.36729133894
0,2,20,0,4663.04006076846
0,1,21,4,7403.56445366199
0,2,21,1,3706.67277861958
0,1,22,11,8494.66450597408
0,2,22,0,2514.98093924417
0,1,23,3,5359.54962418508
0,2,23,0,5225.11048484174
0,1,24,1,12398.5975028197
0,2,24,2,5060.64999453774
0,1,25,14,8538.59295920215
0,2,25,1,761.639756269941
0,1,26,4,4514.13105168151
0,2,26,0,5763.64038596201
0,1,27,5,10082.0997003473
0,2,27,3,2246.34139272165
0,1,28,2,8591.31826490958
0,2,28,2,3174.51658330162
0,1,29,2,10402.7821939452
0,2,29,2,1254.81160734632
0,1,30,8,3668.55878285918
0,2,30,2,3231.35812711678
0,1,31,1,9612.82299889337
0,2,31,0,1798.82337460149
0,1,32,0,2437.03982868304
0,2,32,0,1172.62723194826
0,1,33,4,2402.4864891006
0,2,33,0,1641.68948060309
0,1,34,8,3477.62553471225
0,2,34,2,4000.26682297866
0,1,35,0,2411.07479257467
0,2,35,1,1458.50265915219
0,1,36,6,2883.87069790855
0,2,36,1,1152.93623999901
0,1,37,3,1647.05974664946
0,2,37,0,754.695912366098
0,1,38,6,2787.56371667653
0,2,38,3,1433.13917283778
0,1,39,3,2177.49989330396
0,2,39,3,1261.32728464163
0,1,40,5,882.564236702723
0,2,40,1,677.86918518878
0,1,41,8,3291.3724434333
0,2,41,0,3435.97465575226
0,1,42,5,1466.29169346862
0,2,42,0,1260.00479776054
0,1,43,0,2671.41051398359
0,2,43,2,1119.65680520761
0,1,44,8,1115.4494977473
0,2,44,1,85.2241686433321
0,1,45,4,1837.26900829754
0,2,45,0,355.34719673793
0,1,46,9,1190.62348031972
0,2,46,4,709.723053549335
0,1,47,2,4734.75701231367
0,2,47,2,2036.98132892289
0,1,48,5,2564.25574294076
0,2,48,4,878.367162060943
0,1,49,5,1890.73369355981
0,2,49,0,761.986982549063
0,1,50,9,1553.87549849575
0,2,50,3,1651.14106880648
0,1,51,6,4217.90416126951
0,2,51,1,1600.88879116909
0,1,52,5,1687.01741459099
0,2,52,0,866.511093178855
0,1,53,9,1558.06776720116
0,2,53,0,584.971414104506
0,1,54,7,2076.8900923837
0,2,54,0,493.844621341726
0,1,55,4,1899.07131188809
0,2,55,4,419.560018762934
0,1,56,7,1105.83458849719
0,2,56,1,1255.8051469106
0,1,57,10,1350.48490063688
0,2,57,3,770.257768049179
0,1,58,4,405.19688796684
0,2,58,1,526.874871726278
0,1,59,3,1961.62704242414
0,2,59,0,354.354508646199
0,1,60,8,569.299567978257
0,2,60,4,1295.17393743893
0,1,61,7,358.19089062666
0,2,61,3,320.229487723484
0,1,62,8,493.8356147961
0,2,62,2,506.856989108567
0,1,63,22,293.139831920335
0,2,63,2,536.558995328631
0,1,64,6,300.645621643545
0,2,64,0,185.867246539504
0,1,65,9,1915.83971833521
0,2,65,0,205.076184447077
0,1,66,7,647.861808980793
0,2,66,3,187.866269919536
0,1,67,21,436.58068928002
0,2,67,2,411.531424090391
0,1,68,8,227.572694237753
0,2,68,0,126.719960232278
0,1,69,15,165.280900296993
0,2,69,3,122.638767213069
0,1,70,6,281.496358378583
0,2,70,3,432.442063316871
0,1,71,16,375.378100681811
0,2,71,0,192.239791494816
0,1,72,5,327.878354219722
0,2,72,1,43.4989840799366
0,1,73,10,146.186577971516
0,2,73,2,140.28779188708
0,1,74,4,256.390049050027
0,2,74,2,134.77079550508
0,1,75,9,151.191404214606
0,2,75,2,62.9587675255647
0,1,76,6,94.2551901323846
0,2,76,1,20.5466202381303
0,1,77,8,78.0516784751553
0,2,77,5,32.3572110509669
0,1,78,6,97.707535622116
0,2,78,0,27.8582255927824
0,1,79,8,105.554796709628
0,2,79,0,11.074503335025
0,1,80,1,43.5658091258994
0,2,80,2,9.27694646549981
0,1,81,0,24.5808774684296
0,2,81,0,13.4681986971786
0,1,82,0,26.9586774396863
0,2,82,0,3.73522013868389
0,1,83,0,16.5021397900393
0,2,83,0,26.1845361119845
0,1,84,0,5.84702969431449
0,2,84,1,5.49243138566444
0,1,85,0,8.85911754753616
0,2,85,2,24.6136421048258
0,1,86,2,14.3969239015488
0,2,86,0,5.6377534081642
0,1,87,2,9.32716641911029
0,2,87,0,3.6393009128061
0,1,88,6,11.6419187698386
0,2,88,0,5.05994381300596
0,1,89,0,7.8707458659844
0,2,89,4,7.77443366977521
0,1,90,0,3.86952884281829
0,2,90,0,12.3213277512358
0,1,91,0,11.2710693119499
0,2,91,0,3.25437844267596
0,1,92,0,4.90570962337325
0,2,92,0,9.68440507555668
0,1,93,0,5.19108730014773
0,1,94,0,0.0518259566360077
1,1,18,3,1250.71800071031
1,2,18,2,227.938299559558
1,1,19,0,1412.25949092023
1,2,19,2,635.590575750803
1,1,20,1,1686.99876648606
1,2,20,0,580.287888062414
1,1,21,2,1772.62019509373
1,2,21,0,425.04964079225
1,1,22,2,1063.89585909534
1,2,22,1,319.332801084615
1,1,23,1,880.101375596427
1,2,23,0,326.099242775674
1,1,24,5,1308.61636785018
1,2,24,0,387.956703042719
1,1,25,1,827.855360775909
1,2,25,0,388.029542104075
1,1,26,2,1641.03615349553
1,2,26,3,320.1283072889
1,1,27,2,403.474243114241
1,2,27,0,132.671224756465
1,1,28,5,867.497376589867
1,2,28,0,128.931920632504
1,1,29,3,230.67636841392
1,2,29,0,112.462324451016
1,1,30,0,658.132070227112
1,2,30,0,140.235059057359
1,1,31,0,678.739030765794
1,2,31,0,180.691104095657
1,1,32,2,179.759766203041
1,2,32,2,182.539556076883
1,1,33,0,227.845306713558
1,2,33,0,87.1677256341397
1,1,34,1,461.312711976694
1,2,34,0,80.1641424931349
1,1,35,3,427.112402681075
1,2,35,2,41.5736826068896
1,1,36,0,309.714618170902
1,2,36,2,92.7133067396414
1,1,37,3,478.090707518677
1,2,37,0,104.820400023483
1,1,38,1,459.201456305978
1,2,38,0,228.1186478441
1,1,39,0,200.865067480949
1,2,39,0,262.596494817624
1,1,40,3,260.254059930008
1,2,40,1,148.612592669584
1,1,41,1,142.217022804941
1,2,41,2,66.4867638781935
1,1,42,1,242.377561457762
1,2,42,0,156.051380408987
1,1,43,2,87.6600598066644
1,2,43,0,51.5847108727797
1,1,44,0,144.1701950678
1,2,44,0,62.7392004695149
1,1,45,1,243.858302696938
1,2,45,2,117.670409751063
1,1,46,2,330.907061147193
1,2,46,0,82.6449387331609
1,1,47,0,381.622026107093
1,2,47,1,204.461472020947
1,1,48,1,326.805972884266
1,2,48,0,70.6763673425667
1,1,49,1,203.142168933027
1,2,49,2,155.022821945452
1,1,50,0,530.323862031887
1,2,50,2,22.9070428724938
1,1,51,2,191.432922600119
1,2,51,1,94.0951583386112
1,1,52,1,186.957947915063
1,2,52,0,96.4745886419416
1,1,53,2,261.339804243082
1,2,53,1,99.0315503057452
1,1,54,1,148.294195508734
1,2,54,0,78.225829907818
1,1,55,0,191.162952065189
1,2,55,0,48.3016767667389
1,1,56,3,381.544159243602
1,2,56,0,44.1826407487463
1,1,57,4,97.8660344911901
1,2,57,0,50.9670226950052
1,1,58,4,60.6105269972011
1,2,58,4,20.7749339659201
1,1,59,1,73.6017173367154
1,2,59,2,52.2580070615828
1,1,60,3,170.803115573667
1,2,60,0,47.043035338374
1,1,61,1,55.2493357729594
1,2,61,0,77.7316024374269
1,1,62,0,53.3047579443981
1,2,62,0,27.1510051085997
1,1,63,3,89.3423989618095
1,2,63,2,68.4018156710991
1,1,64,5,86.1764662399445
1,2,64,3,43.0986527177686
1,1,65,1,50.4245711795792
1,2,65,1,25.4093742971383
1,1,66,2,14.9754453649359
1,2,66,0,32.6831661678482
1,1,67,0,27.8285435864445
1,2,67,0,21.6596109495392
1,1,68,0,78.5139705972231
1,2,68,0,33.3075751628235
1,1,69,0,31.5830900045979
1,2,69,1,13.694380020157
1,1,70,0,40.420105663706
1,2,70,0,5.94228753387356
1,1,71,1,27.7743608366307
1,2,71,0,10.9065549852168
1,1,72,0,25.2395823279424
1,2,72,0,10.4956552082839
1,1,73,0,17.4400208096802
1,2,73,0,9.70413967609242
1,1,74,0,12.3877566249235
1,2,74,0,5.64233888759608
1,1,75,0,21.0447749017109
1,2,75,1,2.97732584484563
1,1,76,4,13.4743380039442
1,2,76,0,1.87663328070399
1,1,77,0,7.81120826528714
